"";"names";"pred"
"1";"ACAO";19520
"2";"ACAO (BRASIL)";1614
"3";"ALTERNATIVO";510606
"4";"ANIMACAO";199838
"5";"AVENTURA";43865
"6";"AVENTURA (BRASIL)";0
"7";"BALLET";11171
"8";"BIOGRAFIA";11372
"9";"BIOGRAFIA (BRASIL)";133970
"10";"BIOGRAFIA MUSICAL";32753
"11";"CLASSICO";62580
"12";"COMEDIA";222549
"13";"COMEDIA (BRASIL)";23499
"14";"COMEDIA E TERROR";0
"15";"COMEDIA MUSICAL";11734
"16";"COMEDIA ROMANTICA";10996
"17";"COMEDIA ROMANTICA (BRABEL)";18861
"18";"CONCERTO";11586
"19";"CONCERTOS";28230
"20";"CRIME";10467
"21";"CURTA";0
"22";"DANCA";18467
"23";"DEBATE";24011
"24";"DESENHO";18464
"25";"DOCUMENTAL LATINO";14247
"26";"DOCUMENTARIO";31126
"27";"DOCUMENTARIO MUSICAL";302025
"28";"DRAMA";0
"29";"DRAMA (BRASIL)";25670
"30";"DRAMA EPICO";0
"31";"ELETRONICO";49648
"32";"ESPIRITA";19558
"33";"ESPORTE";18469
"34";"EVENTO";119223
"35";"FANTASIA";0
"36";"FAROESTE";12086
"37";"FESTIVAL";16860
"38";"FICCAO";215738
"39";"FICCAO CIENTIFICA";26589
"40";"GUERRA";0
"41";"HORROR";906
"42";"INFANTIL";0
"43";"JAZZ";32819
"44";"JOGOS DE FUGA";586731
"45";"LIVE ACTION";0
"46";"LIVRE";38491
"47";"MISTERIO";61609
"48";"MUSICAL";0
"49";"MUSICAL (BRASIL)";8856
"50";"OPERA";12861
"51";"POLICIAL";37452
"52";"POLICIAL (BRASIL)";12957
"53";"RELIGIOSO";18463
"54";"ROCK";145443
"55";"ROMANCE";7198
"56";"ROMANCE (BRASIL)";15322
"57";"SHOW";33906
"58";"SHOW (BRASIL)";4869
"59";"STAND UP";1679939
"60";"SUPER-HEROI";104175
"61";"SUSPENSE";199572
"62";"TERROR";21774
"63";"THRILLER";19520
